Code,School Division,Elementary Teaching Positions,End-of-Year Average Daily Membership K-7,Pupil/Teacher Ratio K-7,Secondary Teaching Positions,End-of-Year Average Daily Membership 8-12,Pupil/Teacher Ratio 8-12
90,Surry  ,28.4,391.05751,13.77,54.8,248.83915,4.54
91,Sussex  ,52.91,552.75146,10.45,40.95,372.23704,9.09
92,Tazewell  ,209,3120.02762,14.93,155.9,2082.04397,13.35
93,Warren  ,234.65,2855.70003,12.17,166.74,2027.95145,12.16
94,Washington   ,316.49,3811.98885,12.04,239.55,2583.49439,10.78
95,Westmoreland  ,82.6,885.75862,10.72,57.65,504.75855,8.76
96,Wise  ,593.2,3431.06064,5.78,182.49,1989.06112,10.9
97,Wythe  ,198.58,2220.87714,11.18,117.33,1411.74586,12.03
98,York   ,576.99,7603.46595,13.18,378.26,4598.08813,12.16
101,Alexandria  ,714.7,9894.09706,13.84,582.08,5593.26121,9.61
102,Bristol  ,119.25,1311.84286,11,71.37,791.06193,11.08
103,Buena Vista  ,38,494.96111,13.03,28,321.89594,11.5
104,Charlottesville,252,2585.97708,10.26,161.95,1515.27421,9.36
106,Colonial Heights,105.33,1681.1047,15.96,126.86,1029.45936,8.11
107,Covington  ,0,0,0,0,0,0
108,Danville  ,253.82,3324.09929,13.1,155.81,1965.59343,12.62
109,Falls Church  ,128.64,1392.47224,10.82,88.85,1061.79998,11.95
110,Fredericksburg  ,189.5,2355.91358,12.43,88.5,1234.37366,13.95
111,Galax  ,73.09,818.86518,11.2,33.75,483.62081,14.33
112,Hampton  ,923.73,11433.24116,12.38,632.69,7266.84242,11.49
113,Harrisonburg  ,355.1,3958.35219,11.15,179.5,2398.66496,13.36
114,Hopewell  ,204.94,2248.59102,10.97,108.34,1369.01711,12.64
115,Lynchburg  ,419.5,4498.85877,10.72,227.5,2739.93221,12.04
116,Martinsville  ,90.75,1007.57786,11.1,58.64,671.48329,11.45
117,Newport News  ,972.25,15620.74306,16.07,639.45,9431.25705,14.75
118,Norfolk  ,1265.08,16094.94792,12.72,645.42,8938.53043,13.85
119,Norton  ,43.2,464.75003,10.76,23.25,306.81665,13.2
120,Petersburg  ,155.9,2508.07717,16.09,147.9,1278.37738,8.64
121,Portsmouth  ,536.06,7939.31247,14.81,347.09,4361.603,12.57
122,Radford  ,71.89,1632.08402,22.7,52.49,1935.42541,36.87
123,Richmond City,1086.2,13138.24374,12.1,1055.3,6499.25516,6.16
124,Roanoke City,756.16,8091.83636,10.7,335.45,4625.27342,13.79
126,Staunton  ,135.11,1527.28904,11.3,77.6,977.49721,12.6
127,Suffolk  ,601.97,8296.54294,13.78,388.43,5379.52477,13.85
128,Virginia Beach  ,2891.88,37893.06596,13.1,1782.75,24736.68692,13.88
130,Waynesboro  ,164.65,1716.69538,10.43,81.55,985.89947,12.09
131,Williamsburg/James City County 6,515.32,6611.36836,12.83,291.5,4430.63101,15.2
132,Winchester  ,212.71,2374.24586,11.16,156.08,1644.67033,10.54
135,Franklin  ,47.2,585.92283,12.41,36.24,362.54143,10
136,Chesapeake  ,1665.55,23266.95638,13.97,1221.8,15904.65616,13.02
137,Lexington  ,32.51,431.78523,13.28,15.17,50.32202,3.32
139,Salem  ,173.86,2070.53102,11.91,121.08,1511.29941,12.48
142,Poquoson  ,83.08,1205.65,14.51,64.1,772.05555,12.04
143,Manassas  ,339.59,4496.70073,13.24,192.38,2846.96628,14.8
144,Manassas Park  ,130.56,1883.21897,14.42,105.36,1376.73026,13.07
202,Colonial Beach,33.65,333.83618,9.92,21.56,176.30511,8.18
207,West Point,40,458.74137,11.47,37,303.02871,8.19
