Code,Division Name,Region,Division NBCT Count,Division Perc,Type of District,FY22 Avg Salary,Educ Expend,Expend Per Capita,Total Expend,Median Household Income,Number of Schools
75,Prince William County,Northern Virginia,161,0.091581342,1,72883,1300787000,2697.59,2087310000,123193,95
77,Pulaski County,Southwest Virginia,0,0,1,52854,.,.,.,59740,7
78,Rappahannock County,Northern Virginia,0,0,1,62662,15224614,2071.94,27905619,98663,2
79,Richmond County,Northern Neck,0,0,1,56468,19286808,2161.47,32352787,62708,2
80,Roanoke County,Western Virginia,7,0.003981797,1,53580,184842888,1906.99,329467624,80872,26
81,Rockbridge County,Valley,1,0.000568828,1,53730,39270087,1733.78,81771903,61903,6
82,Rockingham County,Valley,5,0.002844141,1,54540,167107426,1995.15,262436144,73232,23
83,Russell County,Southwest Virginia,1,0.000568828,1,43101,.,.,.,44088,9
84,Scott County,Southwest Virginia,0,0,1,51289,59629916,2763.72,89731560,44535,12
85,Shenandoah County,Northern Virginia,5,0.002844141,1,56039,86552891,1958.83,144561921,62149,9
86,Smyth County,Southwest Virginia,1,0.000568828,1,48709,56079733,1881.87,105813313,45061,13
87,Southampton County,Tidewater,2,0.001137656,1,50617,39657583,2203.69,66013023,67813,6
88,Spotsylvania County,Northern Neck,17,0.00967008,1,57720,317546659,2267.67,504980564,105068,28
89,Stafford County,Northern Neck,36,0.020477816,1,62008,379526533,2418.49,571764263,128036,30
90,Surry County,Central Virginia,0,0,1,57919,18175315,2770.2,36823439,68655,3
91,Sussex County,Central Virginia,0,0,1,56640,22305487,2059.79,42385716,59195,3
92,Tazewell County,Southwest Virginia,0,0,1,48159,69820714,1727,132096110,46508,13
93,Warren County,Northern Virginia,1,0.000568828,1,59921,70886691,1740.53,129325127,79313,9
94,Washington County,Southwest Virginia,2,0.001137656,1,57209,94544561,1752.94,157697743,59116,15
95,Westmoreland County,Northern Neck,0,0,1,59339,26825601,1451.84,52603662,56647,4
96,Wise County,Southwest Virginia,1,0.000568828,1,51425,78251980,2165.85,131091971,47541,11
97,Wythe County,Southwest Virginia,2,0.001137656,1,49966,49433228,1747.37,94633334,53921,12
98,York County,Tidewater,21,0.011945392,1,62990,166769896,2380.9,276032473,105154,18
101,Alexandria,Northern Virginia,69,0.039249147,2,82972,334704685,2098.9,793390942,113179,17
102,Bristol,Southwest Virginia,1,0.000568828,2,61107,37410208,2172.61,94304581,45250,4
103,Buena Vista,Valley,0,0,2,53477,13343727,2009.29,30310689,48783,4
104,Charlottesville,Valley,5,0.002844141,2,66283,99835657,1955.64,276147597,67177,9
106,Colonial Heights,Central Virginia,2,0.001137656,2,60342,44701186,2460.16,84913953,72216,5
108,Danville,Western Virginia,4,0.002275313,2,55049,106255614,2494.85,227705878,41484,11
109,Falls Church,Northern Virginia,10,0.005688282,2,85849,60470056,4125.4,100349710,164536,4
110,Fredericksburg,Northern Neck,1,0.000568828,2,59536,60180809,2150.7,149854827,83445,4
111,Galax,Southwest Virginia,1,0.000568828,2,48682,18617093,2770.4,40411111,44612,3
112,Hampton,Tidewater,33,0.018771331,2,57929,296213734,2159.81,654994463,64430,29
